region,unemp_rate1976,unemp_rate1977,unemp_rate1978,unemp_rate1979,unemp_rate1980,unemp_rate1981,unemp_rate1982,unemp_rate1983,unemp_rate1984,unemp_rate1985,unemp_rate1986,unemp_rate1987,unemp_rate1988,unemp_rate1989,unemp_rate1990,unemp_rate1991,unemp_rate1992,unemp_rate1993,unemp_rate1994,unemp_rate1995,unemp_rate1996,unemp_rate1997,unemp_rate1998,unemp_rate1999,unemp_rate2000,unemp_rate2001,unemp_rate2002,unemp_rate2003,unemp_rate2004,unemp_rate2005,unemp_rate2006,unemp_rate2007,unemp_rate2008,unemp_rate2009,unemp_rate2010,unemp_rate2011
Northeast,9.3999996,8.3999996,7,6.5999999,7.1999998,7.4000001,9,8.8000002,6.8000002,6.1999998,5.5999999,4.5,4.0999999,4.5,5.4000001,7.3000002,8.1999998,7.4000001,6.5,6,5.6999998,5.4000001,4.6999998,4.4000001,3.8,4.4000001,5.5999999,5.9000001,5.3000002,4.8000002,4.5999999,4.5,5.4000001,8.3000002,8.6999998,8.1999998
Midwest,6.5999999,6,5.3000002,5.5,8.1999998,8.6000004,11.1,10.9,8.3999996,8,7.4000001,6.5999999,5.8000002,5.4000001,5.5999999,6.5,6.6999998,6,5.0999999,4.5999999,4.5,4.0999999,3.7,3.5999999,3.5999999,4.5,5.5,5.9000001,5.6999998,5.5,5,5.0999999,6,9.6000004,9.5,8.3999996
South,6.8000002,6.4000001,5.5999999,5.4000001,6.4000001,7,8.8999996,9.1999998,7.3000002,7.1999998,7.5,6.8000002,6.0999999,5.6999998,5.6999998,6.6999998,7.1999998,6.5999999,5.9000001,5.4000001,5.1999998,4.9000001,4.4000001,4.0999999,3.9000001,4.6999998,5.5999999,5.6999998,5.1999998,5,4.5,4.3000002,5.5,8.8999996,9.3000002,8.8000002
West,8.6000004,7.9000001,6.5999999,6,6.9000001,7.4000001,9.8999996,9.6000004,7.5999999,7.3000002,7.0999999,6.3000002,5.5999999,5.3000002,5.5,6.9000001,8.1999998,8,7.1999998,6.5999999,6.4000001,5.5999999,5.4000001,4.9000001,4.5999999,5.3000002,6.5,6.5999999,5.9000001,5.1999998,4.5999999,4.6999998,6.3000002,10.2,11,10.4
